name,address,latitude,longitude,phone,overview,Total Sites,Overnight Sites,Seasonal Sites,Maximum Amperage,Electrical / Water / Sewer,Electrical / Water,Electrical,No Services,Min / Max (Daily),Max length (of RV),activities,Accessible facilities,Credit/debit cards,Dumping (station or mobile),Group camping,Internet (WiFi at site),Laundromat,Pet-friendly,Planned activities/events,Playground,Pull-thru sites,Rec hall/games room,Restaurant/snack bar,Store,Swimming (outdoor pool),Toilets/showers (comfort station),"Boating (marina, boat launch, or docks)",Cable TV (at site),Controlled access,Hot tub,Internet (hot spot),Propane,Swimming (indoor pool),"Swimming (lake, river, or beach)",Toilets (pit/outhouse)
Bay Meadows Park,"153 County Rd 27, RR 3, Consecon, Ontario, K0K 1T0",43.95149,-77.35363,613-399-3486,"Welcome to Bay Meadows Park, with seasonal and adult 50-week sites and overnight sites. Featuring full hookups, heated pool, fishing docks and WiFi. Near sand beaches. Family visitors welcome.",80,10,70,50,80,0,0,0,$40 / $56,45 ft,"Activities In or Around the Campground:Restaurants, Basketball, Fishing, Golf, Shuffleboard, Swimming (lake, river), Theatre (live), Museum/heritage sites",1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Bayfort Camp,"3321 Ogden's Beach Rd, Port McNicoll, Ontario, L0K 1R0",44.75167,-79.8476,705-526-8704,"Bayfort Camp is a family campground on beautiful Georgian Bay, with no through traffic. It is a great place for children, with a sandy beach and 2 playgrounds. We have a recreation hall, a snack bar and 3 sets of washrooms, 1 with showers. The trailer and tent sites are located in grassy areas, kept cut and clean; there are also shaded or clear areas. 30-amp service is available on trailer sites.",200,47,153,30,4,164,0,32,$32 / $48,40 ft,"Activities In or Around the Campground:Basketball, Cycling, Fishing, Golf, Horseshoes, Museum/heritage sites, Volleyball, Walking/hiking trails",0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0
Bayview Trailer Park,"160 Terrace Rd, Marmora, Ontario, K0K 2M0",44.46864,-77.74432,613-472-6700,"Bayview Park is a seasonal-only campground (sorry, no overnight/transient camping) located on the shores of beautiful Crowe Lake, approximately 2 hours E of Toronto/GTA. Almost 90% of our seasonal campsites are waterfront lots! We feature natural treed campsites, a safe sandy beach, excellent fishing, boating and many area attractions. Bayview Park has been family-owned and -operated for over 50 years, with plans to continue our legacy for many years to come. We now have second- and third- generation families enjoying our campground, and we look forward to hosting your family!",165,0,165,50,165,0,0,0,$ / $,45 ft,"Activities In or Around the Campground:ATV-friendly, Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Water park, Water skiing",0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Bear Ridge Campground & Cottages,"563 The Ridge Rd, Coe Hill, Ontario, K0L 1P0",44.84746,-77.81744,613-337-5533,"This 50-acre wilderness camp offers seasonal sites for RVs and park models, as well as a selection of pull-thru sites. For those adventurous folk who like to sleep under the stars or set up a tent, the Bear Ridge wilderness area offers a chance to connect with nature.Bear Ridge also boasts 4 housekeeping cottages that feature 2 bedrooms, a pullout sofa and outdoor seating areas for relaxing after a long day of activity.There is just no way you can ever run out of fun activities while camping at Bear Ridge!We are located on Wollaston Lake, with access to a private beach, docks and everything you need to start your adventure on the water. Grab a kayak or stand-up paddleboard for non-motorized fun, or you can rent a motor boat if you want more power out on the lake. Fishing is plentiful, and the water is warm enough for a full day of swimming. Onsite at Bear Ridge, you can go for a hike up into the hills and take in the view. Each site features seating areas and a fire pit.",75,10,65,50,65,5,0,5,$41 / $64,45 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Dances, Fishing, Horseback riding, Restaurants, Swimming (lake, river), Walking/hiking trails",1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0
Bell Haven Park,"544 Peterborough County Rd 36, Trent Lakes, Ontario, K0M 1A0",44.5846,-78.51276,705-738-6162,"Our amenities include washroom and shower facilities, a heated swimming pool (open from end of June to beginning of Sept), a coin laundry, a recreation hall, a convenience store, a pool table, a sandy beach, a playground, horseshoe pits, a baseball field, a basketball pad and a volleyball court. We also offer a variety of organized activities for both adults and children. An electronic security gate controls traffic in the park. Your well-behaved small to mid-size pets are welcome. Reservations are suggested for overnight camping.",125,15,110,30,110,11,0,4,$45 / $65,27 ft,"Activities In or Around the Campground:Baseball, Basketball, Boat rental (motorized), Fishing, Horseshoes, Swimming (lake, river), Table tennis, Volleyball",0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0
Bensfort Bridge Resort,"1821 County Rd 2, Bailieboro, Ontario, K0L 1B0",44.20521,-78.27837,705-939-6515,"Located on the Otonabee River, which is part of the Trent/Severn canal system, Bensfort Bridge Resort is only 8 km south of Peterborough. We have RV sites with hookups for drinking water, 30-amp electric and septic. Tent sites have drinking water and electric hookups. Each campsite has its own private fire pit and picnic table. Firewood is sold onsite. Daily, weekly and seasonal rates are available. The 1-bedroom log cabin is set up for 2 people, with a 3-piece private bath; it has a private patio overlooking the Otonabee River. Relax on a rocker bench while you read a book. The 2-bedroom cottage is set up for 4 people, with a shared bath; you can walk out to the Otonabee River. The 3-bedroom cottage is set up for 6 people, with a 3-piece private bath; sit out on the deck and enjoy watching the boats travelling the Otonabee River. There is a 2-day minimum rental on cottages. Nature surrounds you in a peaceful setting.",50,10,40,30,45,5,0,0,$40 / $45,40 ft,"Activities In or Around the Campground:Badminton, Basketball, Boat rental (motorized), Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Wildlife viewing/birding",1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0
Bingemans Camping Resort,"425 Bingeman Centre Dr, Kitchener, Ontario, N2B 3X7",43.47171,-80.44958,519-744-1002,"At Bingemans Camping Resort you are just foot steps away from a thrilling variety of entertainment options! We’ll provide you with a customized getaway experience like no other, whether you’re looking for a thrilling and fun-filled getaway, or a more traditional and relaxed camping experience, Bingemans Camping Resort will not disappoint!Bingemans Camping Resort also has seasonal camping  available! Our campground is located within close proximity to most major activities and only minutes away from city amenities, while still being surrounded by a park setting alongside the picturesque Grand River.",491,354,137,50,178,169,0,144,$45 / $115,45 ft,"Activities In or Around the Campground:Amusement park, Fishing, Golf (mini), Restaurants, Rock climbing/bouldering, Volleyball, Water park",1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Birch Bark Trailer Park,"36501 Dashwood Rd, RR 1, Dashwood, Ontario, N0M 1N0",43.33857,-81.70554,519-238-8256,"5.5 km northeast of Grand Bend on Highway 83. We have a new park store, a rec hall and a fitness centre. We have also developed a new 4-season section, able to accommodate park models from Northlander up to 1,080 square feet. Lots average 53 feet x 85 feet and have 50-amp service, natural gas, city water and fibre optics. Trailer rentals also available.",100,0,100,50,100,0,0,0,$56 / $,40 ft,"Activities In or Around the Campground:Fitness, Movies, Swimming (lake, river), Theatre (live), Vehicle racing, Wine tours",1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
Bissell's Hideaway Water Park & RV Resort,"205 Metler Rd, RR 1, Ridgeville, Ontario, L0S 1M0",43.06224,-79.30337,905-892-5706,"Niagara's top-rated resort by GOOD SAM: 10/10/10. Nestled in the Short Hills of the magical Niagara Escarpment, Bissell’s Hideaway is a top-rated luxury camping destination with all of the amenities you would expect from a world-class resort. Situated in the heart of Niagara, its panoramic views, rolling hills, sparkling meadows and enchanting forests truly separate it from other resorts located in the city. A quick 20-minute drive, and you will find yourself in the “Honeymoon Capital of the World”: Niagara Falls, Canada.  Offering Niagara’s best family-friendly camping experience. Your kids will be in awe at the sight of our two big pools. Slide down the waterslide; play mini-golf; ride the pedal boats; enjoy the splash pad and regular playground; and take part in games, activities and organized events, all at no extra charge.",350,200,150,50,200,50,0,100,$75 / $120,45 ft,"Activities In or Around the Campground:Amusement park, Casino, Golf (mini), Restaurants, Rock climbing/bouldering, Water park, Wine tours, Ziplining",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0
Blue Sky RV Resorts,"682533 Dufferin County Rd 21, Melancthon, Ontario, L9V 2N2",44.14836,-80.31662,289-800-1216,"Escape to your camping retreat close to the city. Our beautiful forested campground offers relaxation, fun and amazing sunsets. Huge seasonal sites and friendly atmosphere. Direct access to 400 km of ATV trails. Play in our FUN ZONE, full of games: horseshoes, giant jenga, bean bag toss, tire maze and more! Fun events: group campfires, BBQs, potlucks, wagon rides, ice cream days, scavenger hunts, fun contests. Cool off in our heated pool and host your friends in rental cabins and trailers. Nearby: 6 waterfalls, Lake Eugenia, Bruce Trail. Enjoy the backroads drive to our resort. Only 1.5 hours from Toronto, 45 minutes from Barrie, 1 hour from Brampton/Mississauga. Located 11 km north of Shelburne off Hwy 10.",150,50,100,30,130,20,0,0,$54 / $64,80 ft,"Activities In or Around the Campground:ATV-friendly, Basketball, Farmers' market/stands, Golf, Horseshoes, Movies, Walking/hiking trails",0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
Bon Echo Family Campground,"1178 Head Rd, Cloyne, Ontario, K0H 1K0",44.85106,-77.16634,613-336-9408,"Waterfront cottage and waterview trailers for rent, WiFi. Child-friendly, 6 minutes from Bon Echo Provincial Park. You will enjoy lots of trees, water views and a sandy beach nestled on a quiet lake. While relaxing in this natural setting, you won’t have to give up conveniences like 30-amp electricity/water, clean washrooms, hot showers and WiFi. This park appeals to seniors, families, kids or anyone looking for a fun but quiet nature-oriented escape.You and your family will never run out of new adventures and places to explore in the area. Boating, canoeing, fishing, hiking, ATVing, cave exploration, historical boat tours, pioneer museums and golf are just some of the many activities available.No camping equipment? Sleep in our fully finished cottage or cozy camper-trailers for rent. Unlike some other places, which can feel like noisy and crowded ""trailer cities,"" you will inhale clean air and feel the peace.",60,3,57,30,0,60,0,0,$35 / $45,35 ft,"Activities In or Around the Campground:Swimming (lake, river), ATV-friendly, Boat rental (non-motorized), Fishing, Horseshoes, Motorboats allowed, Soccer",0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Booth Landing Camping & Cottages,"437 Golf Course Rd, Chisholm Township, Powassan, Ontario, P0H 1Z0",46.13524,-79.19512,705-724-3681,"Located 30 km southeast of North Bay, we are mid-way between Timmins, Ottawa and Toronto. We are the ideal spot for gathering with family and friends, and a great destination for ATVing, golfing, fishing and nature enthusiasts. Overnight campsites are spacious and grassy, equipped with 30-amp hydro and water. We also have a central washroom with flush toilets and showers. Trailer dump station onsite.Cottages are well-spaced, fully equipped and all situated along the water's edge.",72,10,62,30,62,10,0,0,$45 / $45,60 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Boat rental (non-motorized), Fishing, Horseshoes, Mountain biking, Volleyball, Walking/hiking trails",0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
Burnt Hills Lakeside Resort,"1109 Burnt Hills Rd, Seeley's Bay, Ontario, K0H 2N0",44.46337,-76.31028,905-260-9864,"Come and enjoy your next holiday getaway on wonderful Dog Lake, part of the Rideau canal system. You'll enjoy great fishing or relaxing with a good book. Give us a call and arrange your next holiday. We are just southwest of Seeley's Bay, and a short 25-minute drive northeast of Kingston.",82,8,74,30,12,60,5,5,$38 / $44,40 ft,"Activities In or Around the Campground:Cycling, Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river)",0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
By the Bay Campground & Resort,"817 Pike Bay Rd, Northern Bruce Peninsula, Ontario, N0H 2T0",44.86953,-81.32192,519-793-3317,"Welcome to By the Bay General Store and Campground. Pike Bay is a small community located on a beautiful inlet off Lake Huron. It boasts some of the most mesmerizing sunsets and has been called the sunset capital of Ontario. It is also centrally located to many favourite destinations on the Bruce Peninsula, such as Sauble Beach, Tobermory, the Grotto and the Bruce Trail. By the Bay offers seasonal sites for trailers so you can stay and relax and be part of a small community for 6 months of the year. You can enjoy fishing, swimming, hiking and boating by day, and then head back to the trailer for a cozy campfire at night.  Most of these sites have 15 amp hydro, water hookup and septic. By the Bay also offers a few transient sites for tents or trailers. If camping is not for you, we also offer cottage and motel rentals, along with lakefront and marina access. By the Bay also has a restaurant, sells ice cream, rents movies and sells gas.",36,2,34,15,31,5,0,0,$ / $,35 ft,"Activities In or Around the Campground:ATV-friendly, Fishing, Movies, Restaurants, Snowmobiling, Swimming (lake, river), Walking/hiking trails, Wildlife viewing/birding",0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0
Calabogie's Lakeside Camping and RV Resort,"5372 Calabogie Rd Hwy 508, Calabogie, Ontario, K0J 1H0",45.29314,-76.75166,613-899-1313,"Calabogie Lakeside is your home away from home. Enjoy golf, hiking, boating, fishing, ATV riding and more, while taking advantage of all the amenities we have to offer. Relax in the beautiful forestry of our picturesque campground and join in the different events throughout the season. If you enjoy the outdoors, you will enjoy our campground.",80,40,40,50,30,50,0,0,$ / $,45 ft,Activities In or Around the Campground:,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0
Cameron's Point Family Campground,"19558 County Rd 2, Summerstown, Ontario, K0C 2E0",45.07564,-74.53625,613-931-1516,"Located in Summerstown, Ontario, on the shores of the scenic St Lawrence River, Cameron’s Point offers visitors a wonderful opportunity to experience the tranquil atmosphere of the region. Boasting 30 acres of open lots, a heated pool and hot tub to relax in, and state-of-the-art floating docks for when the boating urge hits, our campground has everything you need to enjoy a pleasant summer with the family.An hour away from Ottawa and Montreal, Cameron’s Point is within easy reach of major shopping centres, and the city of Cornwall is only 20 minutes away for day-to-day necessities. Our home away from home has all the amenities to keep you satisfied for the season.",153,79,74,30,0,149,0,4,$41 / $,,"Activities In or Around the Campground:Baseball, Boat rental (motorized), Day use, Fishing, Movies, Restaurants, Soccer, Swimming (lake, river)",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0
Camp Conewango,"1875 Songis Rd, Lake Talon, RR 1, Redbridge, Ontario, P0H 2A0",46.35587,-79.11418,705-776-2320,"Camp Conewango is a four seasons resort with a quiet, family-oriented campground, housekeeping cottages, boat, canoe and kayak rentals, a restaurant, sandy beach and great fishing, all set in beautiful, peaceful surroundings. Gasoline sales, summer camp store and coin laundry facilities are also on site. For groups in the cottages, meal plans are available, on request.Camp Conewango is located on the north shore of fabulous Lake Talon, within the Mattawa River Provincial Park and is surrounded by thousands of acres of Crown land. We are on the world class VMUTS (Voyaguer Multi-Use Trail System), which provides over 300 kilometres of ATV, hiking and biking trails. No need to run the roads or trailer to the trails! In the winter, groomed snowmobile trails cross our resort property. The area is well known for early and late snowfall.We are sure you will be enthralled with the unparalleled beauty of Lake Talon, the historic Mattawa River system and surrounding area.",71,13,58,15,0,67,0,4,$30 / $40,34 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Boat rental (non-motorized), Fishing, Horseshoes, Snowmobiling, Swimming (lake, river), Walking/hiking trails",0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
Camp Hither Hills,"5227 Bank St, Ottawa, Ontario, K1X 1H2",45.29134,-75.57683,613-822-0509,"17 km south of Parliament. Easy access to most tourist attractions, changing of the guard, sound and light show, and museums. 20 minutes to Calypso, Canada's largest water park. Full-service Good Sam Park. Free WiFi, heated saltwater pool, soccer field. Grassy/treed sites and large pull-thrus. Easily accommodating all big rigs in our 80- to 100-foot pull-thrus (50-amp) and brand-new premium patio sites. Groups welcome. Special rate for service groups. Friendly service. New washrooms and laundry! Service bilingue. Good Sam rating for 2018 is 9-10*-8.5.",85,70,15,50,80,0,0,5,$43 / $51,50 ft,"Activities In or Around the Campground:Badminton, Basketball, Day use, Soccer, Volleyball",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Campark Resorts,"9387 Lundy's Lane, Hwy 20, Niagara Falls, Ontario, L2E 6S4",43.08596,-79.15815,905-358-3873,"Steeped in history, Campark Resorts is your perfect country camping resort, located in the beautiful city of Niagara Falls, with over 400 sites throughout the park.We have something to fit your needs, from grassy, shady lots for tents to camping cabins and full-hookup and pull-thru sites for big rigs. If you’re looking for a little more luxury than a tent offers, stay in one of our cozy camping cabins. Spend your day relaxing by the pool, or join in one of the many planned activities, such as aquafitness, bingo, kids’ bingo, theme weekends and dances/karaoke. The kids will love our 2 large outdoor playgrounds, arcade, splash pad and mini-putt course! We even have a basketball court and a sand volleyball court!  Our famous Breakfast in the Barn is open daily from 7:30 to 11:30 am.Don’t forget to explore Niagara Falls! Take a shuttle bus to the falls and enjoy all the splendour they have to offer. Campark Resorts offers discount tickets/coupons to area attractions.",252,187,65,50,192,45,0,15,$43 / $65,90 ft,"Activities In or Around the Campground:Basketball, Casino, Golf (mini), Pedal carts, Restaurants, Shopping, Wine tours, Volleyball",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0
Campers Cove,"21097 Campers Cove Rd, Wheatley, Ontario, N0P 2P0",42.1034,-82.42642,519-825-4732,"Overnight and seasonal camping, 324 shaded sites, 1,200-foot Lake Erie beach, sewers, 30/50 amps, municipal water. Pull-thrus, gravel drives, camping cabins, control gate, clean washrooms, store, laundromat, 4 playgrounds, 2 LittleTyke playgrounds, planned activities. High-speed wireless Internet throughout park. Nearby golf, boat launch. Minutes from Point Pelee National Park. CAA/AAA-approved. Good Sam rated.",324,86,238,50,311,13,0,0,$53 / $123,40 ft,"Activities In or Around the Campground:Fishing, Shopping, Swimming (lake, river), Walking/hiking trails, Wildlife viewing/birding",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
