original_name,name,place_id,rating,by
Gordon's Park Eco Resort,Gordon's Park,ChIJgeBUPJb5LU0RhTyJcJYgOZk,4.1,name
Goreski's Landing Cottage & RV Resort - Parkbridge,Goreski's Landing | A Parkbridge Cottage & RV Resort,ChIJmfhvTbNs1YkRs3e4zUcEgCA,3.6,name
Grand Oaks RV Resort,Grand Oaks RV Resort,ChIJiY9kA6fH54gRYzfr664lo8w,4.5,name
Grangeways RV Park & Family Campground,Grangeways RV Park & Family Campground,ChIJ0-Y7th031YkRsvOmSGmafnA,4.3,name
Granite Ridge Wilderness Campground,Granite Ridge Campground,ChIJ7WBGrg8XKk0RWdB46kje9VI,3.7,phone
Gravenhurst/Muskoka KOA,Gravenhurst / Muskoka KOA,ChIJ0_otbLCEKk0RFdxXVlH2MAc,4.1,name
Great Canadian Hideaway,Great Canadian Hideaway,ChIJqZfh3EIYL4gR7lu8qnufb7g,4.3,name
Green Acre Park,Green Acre Park,ChIJVw35CdH2K4gRVg__2TV8cds,4.4,name
Green Acres Campground & RV Park,Green Acres Campground & RV Park,ChIJA3UUwjpRKIgRdOD6KhzIdpg,3.6,name
Gulliver's Lake RV Resort,Gulliver's Lake RV Resort & Campground,ChIJ0e7kHgh-K4gR_YjghN8jGKc,4.1,name
Gullwing Lake Park,Gullwing Lake Park,ChIJPdIw_qrzKk0Rr8p9YDfpU2g,3.3,name
Happy Hollow Campground Inc. & RV sales,Happy Hollow Campground,ChIJt3EGwiKO2IkRT8_xh8AW8_M,4.0,name
Harbour Side Family Trailer Park,Harbour Side Trailer Park,ChIJEzSjHVdAL4gRBUYtKcNjm58,4.4,phone
Hidden Valley RV Resort,Hidden Valley R.V. Resort & Campground,ChIJc-wFX4IUBogRI-mjfecMdrg,4.4,name
Highland Pines Campground & RV Sales,Highland Pines Campground,ChIJJ2P1Y5S7K4gRXHHQIyotWho,4.2,name
Holiday Park,Holiday Park,ChIJbY9GJkhKlkcRjm7v4fO8upI,4.1,name
Hope Bay Campground,Hope Bay Campground,ChIJnXopJWvBLE0RokLF0TEjW6I,4.2,name
Horseshoe Lake Camp & Cottages,Horseshoe Lake Camp & Cottages,ChIJq6qqqhqtK00RtM2u-t8Tkbw,4.3,name
Inn on the Lake Trailer Park,Inn On The Lake Country Park,ChIJMZgIhg2aKk0RpMiJK5HTUl8,5.0,phone
Jordan Valley Campground,Dressel's Jordan Valley Campground,ChIJH8l4-61S04kRvyImNjMxtBE,4.4,name
Kilsyth Country Campground,Kilsyth Country Campground,ChIJBQjUZDnoKYgR3M19rYfPlIY,4.0,name
Klondyke Trailer Park,Klondyke Trailer Park,ChIJ4238KiM7L4gRI18oadymoKM,4.3,name
Knight's Hideaway Park,Knight's Hide-Away Park,ChIJt2LFClw-04kRfSC6TA3SIgM,3.5,name
Lafontaine RV Resort,Lafontaine RV Resort & Campground,ChIJx6RzBrHYKk0RGSLs03bBqyc,3.5,name
Lagoon Tent & Trailer Park,Lagoon Tent and Trailer Park,ChIJm4fFj79yKk0Rsfz8scSQZw8,4.4,name
Lake Avenue RV Resort,Lake Avenue RV Resort,ChIJEeSZ3P2014kRUXFvlUkvzs0,4.5,name
Lake Dore RV Resort,Lake Dore RV Resort,ChIJU9dYawBb0UwR31aXoWr8v60,4.5,name
Lakewood Christian Campground,Lakewood Christian Campground,ChIJ9zZpjDZjL4gRQ7QvjVdK7ds,4.4,name
Lancaster Park Outdoor Resort,Lancaster Park Outdoor Resort,ChIJFQr2Gt6pzkwRjV7Vc-_t8FE,4.1,name
Lands End Park,Lands End Park,ChIJc_LQ5GwLLU0RGbDZaM_Ky2I,4.4,name
Leisure Lake Cottage & RV Resort - Parkbridge,Leisure Lake | A Parkbridge Cottage & RV Resort,ChIJwZXgwq7GOogRBHIZNTBqqPw,4.2,name
Leisure Time Park & Trailer Sales,Leisure Time Park & Trailer Sales Inc,ChIJVVVVFV8eK4gRd2HW06OmRcg,4.1,name
Logos Land Resort,Logos Land Motel and Resort,ChIJfTQMxYdl0UwRCzo1bY8NqDE,4.1,name
Maple Ridge Family Campground,Maple Ridge Family Camp,ChIJcyd6bab9LE0R_T1ILwcOsac,3.7,name
Marmora KOA,Marmora KOA,ChIJ5fc6k5tF00wRqXFuyrD_J98,3.6,name
Milton Heights Campground Ltd,Milton Heights Campground,ChIJa082_T5wK4gRLEHvmbkOq-w,4.1,name
Minakwa Lodge,Minakwa Lodge,ChIJwfpZ7LrdOk0RK8FieavVxCY,4.9,name
Mississippi Lake RV Resort,Mississippi Lake RV Resort,ChIJD1L-ycIN0kwR6WwI3N5jWBc,4.4,name
Muskoka Falls Trailer Park & Campground,Gravenhurst / Muskoka KOA,ChIJ0_otbLCEKk0RFdxXVlH2MAc,4.1,name
Muskoka Ridge Trailer Park,Muskoka Ridge Trailer Park Ltd.,ChIJ4zQGsueFKk0Rk00VbUwNA5Y,4.0,name
Nith River Campground,Nith River Campground,ChIJxXRDISYHLIgROqbU0Jg8-7A,4.0,name
Noelville Family Resort,Noelville Family Resort,ChIJXXuTUdPLLk0RfvV9CHeblOY,4.6,name
North Shore RV Park,North Shore RV Park,ChIJTXt2wVYT1okRloGrrHMDPvk,4.5,name
Northwestern Tent & RV Park,Northwestern Tent & Trailer Pk,ChIJ2YxhIjGyolIR0kk_8NcZul4,4.2,name
Oakridge Family Campground,Oakridge Family Campground,ChIJc4a-f8dBL4gRrfgMTsgRpyE,5.0,name
Olympia Village RV Park and Campground,Olympia Village RV Park & Campground,ChIJX-wYyR2BLIgRFRXr3kJPMwo,4.1,name
Otter's Edge Estates,,,,address
Our Ponderosa Cottage & RV Resort - Parkbridge,Our Ponderosa | A Parkbridge Cottage & RV Resort,ChIJudzoNbZpL4gRYMsRml33YUY,4.3,name
Paradise Valley,Paradise Valley,ChIJ_WtDJ35jL4gR-GDcvYpPt9A,4.3,phone
Parc Sutton Bay Park,Sutton Bay Park,ChIJ3a0j_KB7Jk0R5dy5awcu7uA,4.6,name
Parry Sound KOA Campground,Parry Sound KOA,ChIJHTESuY6tK00RRN0-zx5Kb4g,3.8,name
Paul Bunyan Lake Front Resort,Paul Bunyan Lake Front Resort,ChIJz0uXsv7NKIgR40AnKBi1bjE,4.1,name
Paul's Creek Camping Ltd.,Paul's Creek Campground,ChIJa11dEJ9c0kwROOGV8312PQA,4.6,phone
Pickerel Park RV Resort,Pickerel Park RV Resort,ChIJiwHRie_P14kRyl97RLNuQBI,4.2,name
Pigeon Lake Park,Pigeon Lake Trailer Park Inc,ChIJVxgY8lx51YkR9aRWYkrhTLU,4.0,name
Pine Valley Park,Pine Valley Park,ChIJGTanKDJ-LIgRZ_4XW3vZ7F0,4.5,name
Pine Valley Resort,Pine Valley Resort & Campground,ChIJnb18THsd10wRxI90ut-boUc,4.8,name
Pineaires Resorts Inc,Pineaires Resorts,ChIJl20TEWW11EwRN1HWlN6g3bo,4.3,name
Point of Mara Resort & Trailer Park,Point of Mara Resort & Trailer Park,ChIJNTukLYVS1UwRR2Qhh4AZd0U,3.9,name
Quinte's Isle Campark,Quinte's Isle Campark,ChIJeVxvc_6014kRiunkEbOf2bU,4.4,name
Red Eagle Family Campground,Red Eagle Family Campground,ChIJI1n3zm2E1EwREyjrnPzB8us,4.5,name
Red Oak Travel Park,Red Oak Travel Park,ChIJUduWrKsqLIgR1vIVwKQz590,4.3,name
Remi Lake Holiday Bay,Remi Lake,ChIJrVP6fgjCPU0R3P-sIF2f46o,4.6,name
Riverside Park Motel & Campground,Riverside Park Motel and Campground,ChIJGRgPXy9A04kReeXAYHtX7oA,3.8,name
Riverwood Park,Riverwood Park Campgrounds,ChIJ1bcYhJh51YkRKvtZZre40Pg,4.5,phone
Rockcliffe Park,Rockcliffe Trailer Park,ChIJ5zYnEnQ71UwR6sDyRdRrtVA,4.4,phone
Rondeau Shores Trailer Park,Rondeau Shores Trailer Park,ChIJh89joBTdL4gRwxOIDebtI4s,4.4,name
Sandbanks River Country Campground,Sandbanks River Country Campground,ChIJJz-xZ71M1okRBfQ4rBNI-_I,4.5,name
Santa's Whispering Pines Campground,Whispering Pines Campground at Santa's Village,ChIJRx9UxuaFKk0RdVszZXOBT5Y,4.2,name
Sauble River Family Camp,Sauble River Campground,ChIJ36KqE7HMLE0RYgn1FvUNNnM,4.6,name
Saugeen Springs RV Park,Saugeen Springs R.V. Park,ChIJSzG0jD6PKYgRwuCjNkTtEkA,4.1,name
Serenity Bay Cottage & RV Park,Serenity Bay Cottage and R.V. Resort,ChIJNc_-6HxX1EwRcm8eOvQe74w,4.8,name
Serenity Hills RV Park,Serenity Bay Cottage and R.V. Resort,ChIJNc_-6HxX1EwRcm8eOvQe74w,4.8,phone
Shady Pines Campground Inc,Shady Pines Campgrounds,ChIJnazd6kMeL4gRIcvueLK0InE,4.4,name
Shamadon Resort,Shamadon Resort,ChIJAchJEBuAKYgREZud7w66_r0,4.7,name
Shelter Valley Campground,Shelter Valley Campground,ChIJN4cZx7vbKIgRsspVR9qO2Pc,4.2,name
Sherkston Shores,Sherkston Shores RV Resort,ChIJOzT8hME704kRYrg4qIdXmVg,4.4,name
Silent Valley Cottage & RV Resort - Parkbridge,Silent Valley | A Parkbridge Cottage & RV Resort,ChIJ7_eP61qAKYgRr7snU0_ISBI,4.1,name
Silver Birches RV Resort,Silver Birches RV Resort & Campground,ChIJg2CeeQZqL4gRFmoCkgnHbJM,4.4,name
Singleton Lake Family Camping & Cottages,Singleton Lake Family Campground,ChIJ5_oa3OxpzUwRjhApaDEkPpo,4.4,name
Skycroft Campground,Skycroft Campground,ChIJMVUC0Lye0kwRbu-TYMJ0rQM,4.4,name
Skyline Cottage & RV Resort - Parkbridge,Skyline | A Parkbridge Cottage & RV Resort,ChIJ36ypJavM1EwRnp5zR_whfmY,4.3,name
Spring Rock Tent & Trailer Park,Spring Rock Tent & Trailer Park,ChIJiap4h3LI1EwRR9DVAsMWykE,4.5,name
Spry Lake Camp,Spry Lake Campground,ChIJYSXn_7DMLE0RY_s7EpZZ92Y,4.1,name
Summer House Park,Summer House Park,ChIJIYYEsm8dLU0RB0xp6wnlkag,4.6,name
Tobermory Village Campground,Tobermory Village Campground,ChIJ5-BhEOwLLU0RMWPjrHMF8aw,3.8,name
Toronto West KOA,Toronto West KOA Holiday,ChIJoR8ffSF6K4gRdG7zq1ewcsc,3.7,name
Tower Manor Family Cottages & Campsites,Tower Manor Cottages and Campsites,ChIJMQhSqqjq1YkRYdiHhQGIhKU,4.2,phone
Trailside RV Resort,Trailside RV Resort & Campground,ChIJVcHjNjSuK00RC__iPumHh_c,4.1,name
Trout Haven Park,Trout Haven Park,ChIJDxmqs5gGL4gROIQ1BBgkWB4,3.8,name
Twin Lakes Camping,Twin Lakes Camping,ChIJ28wz4srGPU0RzYvU-GcWkcY,4.8,name
Veilleux Camping & Marina,Veilleux Camping & Marina,ChIJXT08VinmP00Rvp985eH9w0M,4.6,name
Wasaga Dunes RV Resort - Parkbridge,Wasaga Dunes | A Parkbridge RV Resort,ChIJ3cBd3k3TKk0R1VltLFSk978,4.2,name
Wasaga Pines Cottage & RV Resort - Parkbridge,Wasaga Pines,ChIJC4eosVvNKk0RbFCoSuO0MT0,4.2,name
Wasauksing Marina & Campground,Wasauksing Marina,ChIJ__8_b426K00Rk1iz7kRa2sA,4.3,name
Wawa RV Resort & Campground,Wawa RV Resort and Campground,ChIJ-xMCl8-gR00RUHnayebv_YM,4.3,name
Wawaitin Holiday Park,Wawaitin Holiday Park,ChIJ34Gj9L1eO00R30-K-r9nGCY,4.0,name
Wesley Clover Parks Campground,Wesley Clover Parks Campground,ChIJhw2PinYAzkwRCQDCu48XCIw,4.3,name
Wild Goose Lake Campground,Wild Goose Lake Campground,ChIJK4b1D-u0Qk0RZIhVdOHI8P0,4.3,name
Willow Lake RV Resort,USA RV Resorts Willow Lake,ChIJ88LwxceCQIYR4XW3q7OmrX8,4.4,name
Willowood RV Resort,Willowood RV Resort,ChIJka3UrV0jO4gRUeqrGoEfHLI,4.0,name
Winding River Campground Limited,Winding River Campground,ChIJB7s1FDbfKYgRruHad2_IJkA,3.9,phone
Windmill Point Park & Campground,Windmill Point Park,ChIJIbhOXOQV04kRstOpw1jcr3U,4.3,name
Wingham Trailer Park,Royal Canadian Legion Branch 180,ChIJkRsKdGcQKYgRPE-Q9PDlgPs,4.4,name
Woodland Lake RV Resort,Woodland Lake RV Resort,ChIJ8Z3FO8g3KYgRq2W_d3bl8aE,4.2,name
Woodland Park Sauble Beach,Woodland Park,ChIJbxNC_pjYKYgRjOJVrwqd06U,4.1,name
Yogi Bear's Jellystone Park/Camp-Resort,Yogi Bear's Jellystone Park,ChIJx15Dk7KX7ogRQQOmcwNFhaQ,4.5,name
1000 Islands Camping Resort,1000 Islands Camping Resort,ChIJU--j6sFGzUwRjA4QspmxaaA,2.9,name
1000 Islands/Ivy Lea KOA Kampground,1000 Islands / Ivy Lea KOA,ChIJ_yfYHtVAzUwRm9s3PMfqw6Q,4.3,name
Aintree Trailer Park Ltd,Aintree Trailer Park Ltd,ChIJEyEEEhRXKIgR_R4srOLHYzw,4.2,name
Alpine Country Trailer Park,Alpine Country Trailer Park,ChIJNdb8pw33K4gRXi7krRikSwI,3.6,name
Anchor Bay Camp,Anchor Bay Trailer Park,ChIJAQAAAIeL1YkRNHUQmZxRjbk,4.1,name
Antler's Kingfisher Lodge & Campgrounds,Antler's Kingfisher Lodge,ChIJJR5VAW6110wRqZE5ofA2FxE,4.7,name
Arcadia Campground,Arcadia Peace River Campground,ChIJ0Xq1IXO-3IgRO9lbpl-JteM,4.1,name
Ardoch Falls Wilderness Park,5891 Ardoch Rd,Eik1ODkxIEFyZG9jaCBSZCwgT21wYWgsIE9OIEswSCAySjAsIENhbmFkYSIbEhkKFAoSCeOihxeirNNMES3-EMSlGLtcEIMu,0.0,address
Arkadia Trailer Park & Cottages,ARKADIA TRAILER PARK & COTTAGES,ChIJpYFbst0v1UwRkqx8C2vAdaE,4.3,name
Arlor Haven Campground,Arlor Haven Campground,ChIJk3GDdvhJzEwR0boeWUDOzSw,3.9,name
Balsam Lake Trailer Park & Marina,Balsam Lake,ChIJy6lSB44w1UwRoZ2hFrHyUWo,4.7,name
Bancroft Campground,Bancroft Campground,ChIJc8j0WZtl1EwRpAeadpVu8CA,3.5,name
Bancroft Tent & Trailer Camp,Bancroft Tent and Trailer Camp,ChIJr-KCRk571EwRiwnNVz17l_8,4.7,name
Bass Lake Campground,Bass Lake Campground,ChIJN-0OlsBRB4gR2hr7-IC6yII,3.9,name
Bayview Lodge,Bayview Lodge,ChIJKfdh72TIvlIRrWt46QVZ36g,4.6,name
Bee Happy Campground,Bee Happy Family Campground,ChIJ_zUr7rS6KogRh8wABi2fY0M,3.3,name
Big Otter Marina & Campground,Big Otter Marina & Campgrounds,ChIJI8jiIwDYLYgRINPpxm_sozM,4.4,name
Big Valley Campground,Big Valley Camping Resort,ChIJIyJtSoBN04kRt4LAaaChV2c,3.2,name
Big Water Campground,Big Water Campground,ChIJpS-rM3C6PE0RfCwYM841rBE,4.5,name
Birdsall Beach Resort,Birdsall Beach Resort,ChIJsZrVV6v71YkRoO-yKsEwOF4,4.6,name
Black Bear Campground,Black Bear Campground,ChIJCcrI0mIlw4kRbb9SlE4EcSU,3.9,name
Black Donald Tent & Trailer Park,Black Donald Tent & Trailer Park,ChIJd-KFPCvJ00wRapOhMkQLPU8,4.7,name
Black River Wilderness Park,Black River Wilderness Park,ChIJb5Y9GrNY1UwR4gdy-y9dW5E,4.7,name
Blairton Tent and Trailer Park,Blairton Trailer Park,ChIJz2eDJepQ00wR5Wo6wulbunY,4.1,phone
Blue Heron Trailer Park,Blue Heron Trailer Park,ChIJZ4G0w9bcLIgRojJR0pOBqf4,4.1,name
Blue Water Lakes Campground,Blue Water Lakes Campground,ChIJg0KsSYOOKYgRn7auRpB1y0M,4.4,name
Blueberry Hill Motel & Campground,Blueberry Hill Motel & Campground,ChIJQwiUXZzMN00RBUmjwQMevgM,4.0,name
Bluewater Golf Course & Campground,Bluewater Golf Course and Campground,ChIJlxd-miPOKIgRrEgLQOKFtMo,4.6,name
Bona Vista Campground,BonaVista Campground Inc.,ChIJ8Q-lieZo0UwRXjvABasrxDA,3.4,name
Breezy Hill Camping & RV Park,Breezy Hill Camping,ChIJH_1bGnAe0kwR09FFKEPoAno,3.9,name
Brennan Harbour RV Park,Brennan Harbour RV Park,ChIJLwEZP_WZMU0RqtWvt49cdJY,4.6,name
Buckhorn Narrows Resort Ltd,Buckhorn Narrows Resort,ChIJb2w0YRvP1EwR_yeEue0RaMU,4.0,name
Butterfly Lake Resort,Butterfly Lake Resort,ChIJp9a-g4L1Kk0RBY4eBSybBqw,4.5,name
Cadigan's Camp and Cottages,Cadigan's Camp & Cottages,ChIJb5Uy_WjS1EwRQrI0KjEginw,4.3,name
Cameron's Beach Campground,Cameron's Beach Campground,ChIJpzF6hm86I00RrkPrXa12clY,4.4,name
Camp Ashtabula,Camp Ashtabula Cottages,ChIJq6qqqn7S1EwRunJnrWPB5ig,4.6,name
Camp Barcovan Tent & RV Resort,Camp Barcovan Tent & R.V. Resort,ChIJF5vpuSs41okR6CjtcWUZRHc,3.9,name
Camp Hillbilly Estates,Camp Hillbilly Estates,ChIJLT0XLxyfKk0RkkniCvxovlw,3.9,name
Camping Domaine Chartrand,Domaine Chartrand Camping,ChIJDUleWevwzkwRMxsh2EZMzws,3.8,name
Campinn On Duck Lake,Campinn On Duck Lake,ChIJVdzYoWhH1UwRH6sWC85jbn8,4.6,name
Candlelight on the Bay,Candle Light on the Bay,ChIJCeGYqSLKK00R-5iI78K2sZ0,5.0,name
Canoe Lake Campground,Canoe Lake Campground,ChIJVVVVVYXq0kwRN-G8N_fZW8Q,4.7,name
Casey's Park,Casey's Park,ChIJHegmRnSdLogRu-RTx5GSHik,4.4,name
Castleton Hills RV Park,Castleton Hills RV Park,ChIJRygsMTbg1YkRaNIX0aZWepE,4.7,name
Caswell's Trailer Park,Caswell's Cottages & Trailer Park,ChIJV0cNxRbEKk0RSPREjBcSfyA,4.3,name
Cedar Cove Campground,Cedar Cove Campground & Cottage rentals,ChIJCwLsj2YV1okRHCrTxbFuIUY,4.8,name
Cedar Cove Resort,Cedar Cove Resort,ChIJIzkyGTcl0kwRW_AQwc3XcT8,4.5,name
Cedar Forest Park Campground,Cedar Forest Trailer Park,ChIJG91hZYwUzUwRihEVuWN8K2U,4.7,name
Cedar Grove Park on the Bay,Cedar Grove Park,ChIJfbX2HW3b3IARm6Ri1rFn4iQ,4.6,name
Cedar Pines RV Park,Cedar Pines Campground,ChIJCXDkd7L6kIgREXX2Iq_wLVI,3.9,name
Cedar Rail Family Campground,Cedar Rail Family Campground,ChIJYfjpk4CTKYgRMDuGIdDWB3w,4.2,name
Cedar Shade Campground,Cedar Shade Campground,ChIJWWg2YKr2zkwRQskKDqnKINg,4.4,name
Century Beach Park,Century Beach Park,ChIJ-7UvQFDDLIgRh26skKafBlE,4.9,name
Chesley Lake Camp,Chesley Lake Camp,ChIJhweRoVHcKYgRp1EYzjk0tok,4.6,name
Cobourg East Campground,Cobourg East Campground,ChIJsVr2A8ve1YkRScui6GO8RL0,3.9,name
Colasante's RV Park & Marina,Colasante's R V Park & Marina,ChIJyz93MsgU1okRaQvZ5F24sxo,4.7,name
Concordia Club Campground,Concordia Club,ChIJJehNzh_1K4gR6kWbo3M1PVI,4.4,name
Conestoga Family Camp Grounds Inc,Conestoga Family Campgrounds,ChIJyS6Pb4faK4gRvzQmjTElESc,4.1,phone
Coral Park Campground,Coral Park Campgrounds,ChIJiRjLSZ17K4gRiKxZq-X3jS0,4.9,name
Credivale RV Park Ltd,14158 Mississauga Rd,ChIJQU-zXAQOK4gR6tSiQi8fYDA,0.0,address
Crystal Lake Campground/RV Park,Crystal Lake Campground and RV Park,ChIJkVTJININB4gRDPhwTW-XIUY,3.8,name
Davy Lake R&RV Campground and Resort,Davy Lake Campground and Resort,ChIJmeeGg7kzolIRjREnuXtCgz0,4.5,name
Desert Lake Family Resort,Desert Lake Family Resort,ChIJGV4UzP2V0kwRWL7TDlHcHwA,3.9,name
Doe Lake Campground Rizzort,Doe Lake Campground Rizzort,ChIJ7VHAG7siKk0RnP2glxPcKbk,4.7,name
Dreamaker Family Campground,Dreamaker Family Campground,ChIJB1BgE33dKYgRVJX6fuiPPbk,4.5,name
Dreamland Resort,Dreamland Resort,ChIJ17knNUKnwjsRAvjkwZNA3Xk,3.8,name
Duins Pineridge Resort Inc,Duins Pineridge Resort,ChIJczXdIXQfKk0RIRDyBHRPWQs,4.5,name
Egans Campground Inc,Egan's Campground Inc,ChIJUWEJ4fDvKogRehIR9eJ4FO0,4.1,name
Elm Grove Trailer Park/Family Campground,Elm Grove Trailer Park Ltd,ChIJ7ZK2B6hM1YkR5Zwi-l0AB7Q,4.6,name
Erie Shores Campground,Erie Shores Campground,ChIJH9qh72MiO4gR2CL9txIOKc0,3.8,name
Evergreen Camping & Resort,Evergreen Camping & Resort,ChIJF1krbweMzkwR471fzejsg7s,4.4,name
Evergreen Eco Family Resort,Ever Green Eco Family Resort RV/Trailer Campground,ChIJi_CwzvfcK00RbxsVHXX5ssw,4.0,name
Fairview Park Camping & Marina,Fairview Park Camping & Marina,ChIJ-QR92fyrKU0RKLifVUor6oA,3.7,name
Fenelon Valley Trailer Park,Fenelon Valley Trailer Park,ChIJWcZ1bLEl1UwRZ00BESD4ALo,4.7,name
Fiddlehead Resort Camp,Fiddlehead Resort,ChIJ5bRtAzPMLE0R_mS3HViWq34,4.7,name
